,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Is there a course with this certification?,Category,Activity,Support Group,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Certification Fee,Conference Fee,Course Fee,Vendor Charge
281,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,10,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Salesforce,,,New,Salesforce Certified Platform App Builder,No,Cert exam,SalesForce,TAS TC Emerging Technology Approval Group,Current project/role,,4.0,,200.0,0,0.0,0
282,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,Salesforce Service Cloud Consultant,No,Cert exam,SalesForce,TAS TC Emerging Technology Approval Group,Current project/role,,1.0,No,0.0,0,0.0,0
283,TAS,,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,10,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,salesforce.com,,,New,Salesforce.com Sales Cloud Consultant,No,Cert exam,SalesForce,TAS TC Emerging Technology Approval Group,Other,,1.45,No,200.0,0,0.0,0
284,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Developer - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
285,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,,,,New,AWS Certified Developer-Associate:,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,0.0,0
286,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Amazon Webservices,,,New,AWS Certified Solutions Architect - Associate Level,No,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Current project/role,,2.0,No,150.0,0,0.0,0
287,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,"Kryterion, Inc",,,New,AWS Certified Solutions Architect - Associate Level,No,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Upcoming project/role,,2.0,No,150.0,0,0.0,0
288,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon Web Services,,,New,AWS Certified Solutions Architect - Associate Level,No,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,2.0,No,150.0,0,0.0,0
289,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Upcoming project/role,,0.0,No,170.0,0,58.0,0
290,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Current project/role,,0.0,No,150.0,0,58.0,0
291,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
292,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
293,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,0.0,0
294,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
295,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,7,TD,Technology Delivery,Conference  -  Technology Delivery  -  Vendor,Conference,Vendor,,Las Vegas,Amazon Web Services (AWS),AWS re:Invent 2016,,,,,Cloud,Conf - AWS Reinvent - Only 8 attendees approved,TAS TDL Advanced Tech & Arch Approval Group,Current project/role,100.0,40.0,Yes,0.0,1599,0.0,0
296,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TC Emerging Technology Approval Group,Upcoming project/role,,5.0,No,0.0,0,0.0,0
297,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TC Emerging Technology Approval Group,Current project/role,,0.5,No,0.0,0,0.0,0
298,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TC Emerging Technology Approval Group,Current project/role,,4.0,No,0.0,0,0.0,0
299,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,CDP,TAS TC Emerging Technology Approval Group,Current project/role,,0.5,No,0.0,0,0.0,0
300,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Agile Institute,,,,,,Agile,AWF (Agile Way Fundamentals),TAS TC Emerging Technology Approval Group,Current project/role,,24.0,No,0.0,0,300.0,0
301,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,9,TD,Technology Delivery,Conference  -  Technology Delivery  -  Vendor,Conference,Vendor,,Las Vegas,AWS,AWS re:INVENT,,,,,SAP,Conf - AWS Reinvent - Only 8 attendees approved,TAS TDSADC Infrastructure Approval Group,Current project/role,100.0,40.0,Yes,0.0,1599,0.0,0
302,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Emerging Technology Approval Group,Accenture curriculum,,8.0,No,0.0,0,0.0,0
303,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Emerging Technology Approval Group,Current project/role,,8.0,No,0.0,0,0.0,0
304,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,10,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Current project/role,,24.0,No,0.0,0,548.0,0
305,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Digital Manager,TAS TC Emerging Technology Approval Group,Accenture curriculum,,40.0,Yes,0.0,0,0.0,0
306,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,40.0,0
307,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Advanced Tech Arch School,TAS TC Emerging Technology Approval Group,Current project/role,,40.0,Yes,0.0,0,0.0,0
308,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,4,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Leadership,MD Momentum,TAS TC Emerging Technology Approval Group,Career growth,,40.0,Yes,0.0,0,0.0,0
309,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,New York,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Accenture curriculum,,12.0,Yes,0.0,0,0.0,0
310,TAS,Dallas GS 5221 O'Connor Las Colinas,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,USA - Westin Gateway Arlington,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,Yes,0.0,0,0.0,0
311,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
312,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Other,,12.0,No,0.0,0,0.0,0
313,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
314,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
315,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
316,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
317,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Liquid Architecture Construction School,TAS TC Emerging Technology Approval Group,Current project/role,,40.0,Yes,0.0,0,0.0,0
318,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Hortonworks University,,,,,,Analytics/Big Data,Hadoop,TAS TC Emerging Technology Approval Group,Upcoming project/role,,32.0,No,0.0,0,2800.0,0
319,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
320,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,AWS/Kryterion,,,New,AWS Certified Solutions Architect-Associate,Yes,Cloud,AWS Certification,TAS TC Emerging Technology Approval Group,Career growth,,2.0,No,150.0,0,0.0,0
321,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,12,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Other,,24.0,No,0.0,0,548.0,0
322,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,10,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation certificate in IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Other,,24.0,No,0.0,0,548.0,0
323,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,12,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation certificate in IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Other,,24.0,No,0.0,0,548.0,0
324,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,12,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
325,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.102,TDSADC Custom,Custom,TDSADC,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Custom Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
326,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Global Knowledge (through Accenture),,,,,,Analytics/Big Data,Big Data on AWS,TAS TC Emerging Technology Approval Group,Career growth,,24.0,No,0.0,0,825.0,0
327,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,Analytics/Big Data,Cloud PaaS Academy,TAS TC Emerging Technology Approval Group,Career growth,,16.0,No,0.0,0,0.0,0
328,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Pearson Vue,,,New,Associate Java SE 8 Programmer,Yes,Custom Development,AFS Java cert pgm,TAS TC Emerging Technology Approval Group,Upcoming project/role,,24.0,No,180.0,0,0.0,0
329,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,ACN/AFS Curriculum,Negotiations,TAS TC Emerging Technology Approval Group,Career growth,,24.0,Yes,0.0,0,0.0,0
330,MyLearning,,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,"Leesburg, Virginia National Conference Center",,,,,,,I&D,Maximizing Performance: Developing High Performing Women,,,,24.0,No,0.0,0,1400.0,0
331,TAS,Tampa-St Pete GS 140 Fountain Pkwy,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Conference  -  Technology Consulting  -  Vendor,Conference,Vendor,,"Orlando, FL",SAP,BI 2017,,,,,SAP,Conf - BI2017 - Not on approved list,TAS TC SAP Approval Group,Upcoming project/role,80.0,32.0,Yes,0.0,2199,0.0,0
332,TAS,,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,SAS Institute,,,,,,Analytics/Big Data,SAS,TAS TC Emerging Technology Approval Group,Current project/role,,24.0,No,0.0,0,2400.0,0
333,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,SAS,,,,,No,Analytics/Big Data,SAS,TAS TC Emerging Technology Approval Group,Current project/role,,32.0,No,0.0,0,2600.0,0
334,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Linux Academy,,,,,,No hours,No hours,TAS TDL Analyst Apprentice Approval Group,Career growth,,0.0,No,0.0,0,158.0,0
335,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Other,,24.0,No,0.0,0,548.0,0
336,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Linux Academy,,,,,No,No hours,Linux Academy,TAS TC Industry Approval Group,Accenture curriculum,,0.0,No,0.0,0,58.0,0
337,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,10,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation certificate in IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Other,,24.0,No,0.0,0,548.0,0
338,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,8,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
339,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,9,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
340,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,10,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
341,TAS,Philadelphia GS 2005 Market,01.01.207.008,TDL SAP,SAP,TDL,8,TD,Technology Delivery,Conference  -  Technology Delivery  -  Vendor,Conference,Vendor,,Orlando,SAP,BI2017,,,,,SAP,Conf - BI2017 - Not on approved list,TAS TDL SAP Approval Group,Current project/role,100.0,32.0,Yes,0.0,2200,0.0,0
342,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,Technology SI Solution Architect,Yes,Sales,Solution Arch,TAS TC Emerging Technology Approval Group,Accenture curriculum,,24.0,No,0.0,0,0.0,0
343,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.109,TDSADC Infrastructure,Infracstructure,TDSADC,9,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Hewlett Packard,,,New,ITIL Foundation for IT Service Management,Yes,Cert prep,ITIL,TAS TDSADC Infrastructure Approval Group,Career growth,,24.0,No,0.0,0,548.0,0
344,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,4,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,SFO,Salesforce,,,New,SFDC Admin 201,Yes,SalesForce,Salesforce Admin,TAS TC Emerging Technology Approval Group,Current project/role,,12.0,Yes,0.0,0,2100.0,0
345,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,Salesforce Certified Service Cloud Consultant,Yes,SalesForce,Salesforce Svc Cloud,TAS TC Emerging Technology Approval Group,Current project/role,,32.0,No,0.0,0,0.0,0
346,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,Salesforce Service Cloud Consultant,Yes,SalesForce,Salesforce Svc Cloud,TAS TC Emerging Technology Approval Group,Current project/role,,32.0,No,0.0,0,0.0,0
347,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,,,,New,Salesforce Service Cloud Consultant,Yes,SalesForce,Salesforce Svc Cloud,TAS TC Emerging Technology Approval Group,Current project/role,,32.0,No,0.0,0,0.0,0
348,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,ServiceNow,,,New,Application Creation,Yes,ServiceNow,SNOW App Creation,TAS TC Emerging Technology Approval Group,Current project/role,,24.0,No,0.0,0,2095.0,0
349,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,ACN/AFS Curriculum,Exp Hire,TAS TC Emerging Technology Approval Group,Accenture curriculum,,20.0,Yes,0.0,0,0.0,0
350,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,ACN/AFS Curriculum,Exp Hire,TAS TC Emerging Technology Approval Group,Accenture curriculum,,30.0,Yes,0.0,0,0.0,0
351,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Accenture curriculum,,8.0,No,0.0,0,0.0,0
352,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Emerging Technology Approval Group,Current project/role,,12.0,No,0.0,0,0.0,0
353,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,,,,,,,ACN/AFS Curriculum,Industry - Public Safety,TAS TC Emerging Technology Approval Group,Current project/role,,24.0,No,0.0,0,0.0,0
